,accuracy,confusion
ptt_2_stack,0.8155737704918032,"[[123   7]
 [ 38  76]]"
ptt_2_Naive Bayes,0.8114754098360656,"[[124   6]
 [ 40  74]]"
ptt_3_stack,0.8,"[[113  10]
 [ 38  79]]"
ptt_3_Naive Bayes,0.8,"[[113  10]
 [ 38  79]]"
ptt_4_stack,0.7869565217391304,"[[115  11]
 [ 38  66]]"
ptt_4_Naive Bayes,0.782608695652174,"[[115  11]
 [ 39  65]]"
ptt_5_stack,0.7777777777777778,"[[113  10]
 [ 42  69]]"
ptt_5_Naive Bayes,0.7692307692307693,"[[113  10]
 [ 44  67]]"
dcard_3_stack,0.7589285714285714,"[[431  25]
 [137  79]]"
dcard_3_Naive Bayes,0.7514880952380952,"[[436  20]
 [147  69]]"
ptt_1_Naive Bayes,0.7418032786885246,"[[102  12]
 [ 51  79]]"
ptt_1_stack,0.7418032786885246,"[[102  12]
 [ 51  79]]"
dcard_4_stack,0.7237479806138933,"[[351  26]
 [145  97]]"
news_5_Naive Bayes,0.7232142857142857,"[[506  21]
 [227 142]]"
news_5_stack,0.7232142857142857,"[[458  69]
 [179 190]]"
dcard_2_stack,0.7216916780354706,"[[454  29]
 [175  75]]"
dcard_3_Random Forest,0.7202380952380952,"[[427  29]
 [159  57]]"
dcard_2_Naive Bayes,0.7162346521145976,"[[459  24]
 [184  66]]"
dcard_4_Naive Bayes,0.7140549273021002,"[[362  15]
 [162  80]]"
dcard_4_Random Forest,0.7011308562197092,"[[345  32]
 [153  89]]"
news_5_Random Forest,0.6919642857142857,"[[416 111]
 [165 204]]"
ptt_2_Random Forest,0.6844262295081968,"[[113  17]
 [ 60  54]]"
ptt_3_Random Forest,0.6833333333333333,"[[106  17]
 [ 59  58]]"
news_4_stack,0.6792873051224945,"[[443  52]
 [236 167]]"
dcard_3_SVM,0.6785714285714286,"[[456   0]
 [216   0]]"
dcard_2_Random Forest,0.6780354706684857,"[[443  40]
 [196  54]]"
dcard_3_XGBoost,0.6770833333333334,"[[453   3]
 [214   2]]"
dcard_1_stack,0.6763888888888889,"[[366  18]
 [215 121]]"
dcard_5_Naive Bayes,0.676320272572402,"[[293  26]
 [164 104]]"
dcard_5_stack,0.6746166950596252,"[[286  33]
 [158 110]]"
news_2_stack,0.6723356009070295,"[[400  51]
 [238 193]]"
ptt_4_Random Forest,0.6652173913043479,"[[103  23]
 [ 54  50]]"
news_1_stack,0.6651532349602725,"[[393  51]
 [244 193]]"
news_4_Random Forest,0.6648106904231625,"[[417  78]
 [223 180]]"
news_3_stack,0.6622369878183831,"[[389  71]
 [234 209]]"
dcard_1_Naive Bayes,0.6597222222222222,"[[373  11]
 [234 102]]"
dcard_2_XGBoost,0.6589358799454298,"[[483   0]
 [250   0]]"
dcard_2_SVM,0.6589358799454298,"[[483   0]
 [250   0]]"
ptt_5_Random Forest,0.6581196581196581,"[[101  22]
 [ 58  53]]"
news_4_XGBoost,0.6570155902004454,"[[423  72]
 [236 167]]"
ptt_1_Random Forest,0.6557377049180327,"[[87 27]
 [57 73]]"
news_3_Naive Bayes,0.6533776301218162,"[[436  24]
 [289 154]]"
news_4_Naive Bayes,0.6514476614699332,"[[482  13]
 [300 103]]"
news_2_Random Forest,0.6485260770975056,"[[359  92]
 [218 213]]"
news_5_XGBoost,0.6484375,"[[426 101]
 [214 155]]"
news_1_Random Forest,0.6469920544835415,"[[355  89]
 [222 215]]"
news_1_Naive Bayes,0.6435868331441543,"[[410  34]
 [280 157]]"
ptt_4_XGBoost,0.6434782608695652,"[[104  22]
 [ 60  44]]"
dcard_4_XGBoost,0.6429725363489499,"[[342  35]
 [186  56]]"
ptt_2_SVM,0.639344262295082,"[[105  25]
 [ 63  51]]"
news_2_Naive Bayes,0.63718820861678,"[[435  16]
 [304 127]]"
dcard_5_Random Forest,0.637137989778535,"[[276  43]
 [170  98]]"
news_1_XGBoost,0.6367763904653803,"[[373  71]
 [249 188]]"
news_3_Random Forest,0.636766334440753,"[[358 102]
 [226 217]]"
ptt_5_XGBoost,0.6367521367521367,"[[102  21]
 [ 64  47]]"
news_5_SVM,0.6316964285714286,"[[496  31]
 [299  70]]"
news_3_XGBoost,0.6312292358803987,"[[366  94]
 [239 204]]"
news_2_XGBoost,0.6303854875283447,"[[364  87]
 [239 192]]"
dcard_1_Random Forest,0.6208333333333333,"[[349  35]
 [238  98]]"
ptt_1_XGBoost,0.6188524590163934,"[[81 33]
 [60 70]]"
ptt_2_XGBoost,0.6188524590163934,"[[103  27]
 [ 66  48]]"
dcard_4_SVM,0.6090468497576736,"[[377   0]
 [242   0]]"
ptt_3_XGBoost,0.6083333333333333,"[[106  17]
 [ 77  40]]"
ptt_5_SVM,0.6025641025641025,"[[106  17]
 [ 76  35]]"
news_4_SVM,0.5913140311804009,"[[415  80]
 [287 116]]"
dcard_5_XGBoost,0.5894378194207837,"[[280  39]
 [202  66]]"
news_3_SVM,0.5791805094130675,"[[443  17]
 [363  80]]"
dcard_1_XGBoost,0.5694444444444444,"[[342  42]
 [268  68]]"
ptt_3_SVM,0.5666666666666667,"[[109  14]
 [ 90  27]]"
news_2_SVM,0.5521541950113379,"[[386  65]
 [330 101]]"
ptt_4_SVM,0.5478260869565217,"[[126   0]
 [104   0]]"
dcard_5_SVM,0.5434412265758092,"[[319   0]
 [268   0]]"
news_1_SVM,0.5402951191827469,"[[394  50]
 [355  82]]"
dcard_1_SVM,0.5333333333333333,"[[384   0]
 [336   0]]"
ptt_1_SVM,0.4672131147540984,"[[114   0]
 [130   0]]"
