number of features,days_ahead,model,accuracy,confusion,prediction
4000,3,stack,0.7657111356119074,"[[964  74]
 [351 425]]",[1. 0. 0. ... 0. 0. 0.]
4000,3,Naive Bayes,0.7618522601984564,"[[969  69]
 [363 413]]",[1. 0. 0. ... 0. 0. 0.]
2000,3,Naive Bayes,0.7375964718853363,"[[989  49]
 [427 349]]",[1. 0. 0. ... 0. 0. 0.]
2000,3,stack,0.7359426681367145,"[[963  75]
 [404 372]]",[1. 0. 0. ... 0. 0. 0.]
1000,3,stack,0.7078280044101434,"[[939  99]
 [431 345]]",[1. 0. 0. ... 0. 0. 0.]
800,3,stack,0.697353914002205,"[[939  99]
 [450 326]]",[1. 0. 0. ... 0. 0. 0.]
1000,3,Naive Bayes,0.6968026460859978,"[[990  48]
 [502 274]]",[1. 0. 0. ... 0. 0. 0.]
800,3,Naive Bayes,0.685226019845645,"[[990  48]
 [523 253]]",[1. 0. 0. ... 0. 0. 0.]
4000,3,Random Forest,0.6786108048511577,"[[910 128]
 [455 321]]",[0. 0. 0. ... 0. 0. 0.]
2000,3,Random Forest,0.6686879823594267,"[[884 154]
 [447 329]]",[1. 0. 0. ... 0. 0. 0.]
500,3,stack,0.6675854465270121,"[[924 114]
 [489 287]]",[1. 0. 0. ... 0. 0. 0.]
1000,3,Random Forest,0.6609702315325248,"[[849 189]
 [426 350]]",[1. 0. 0. ... 0. 0. 0.]
500,3,Naive Bayes,0.6565600882028666,"[[1004   34]
 [ 589  187]]",[1. 0. 0. ... 0. 0. 0.]
800,3,Random Forest,0.6532524807056229,"[[833 205]
 [424 352]]",[1. 0. 0. ... 0. 1. 0.]
500,3,Random Forest,0.6438809261300992,"[[822 216]
 [430 346]]",[1. 0. 0. ... 0. 1. 0.]
800,3,XGBoost,0.6422271223814774,"[[885 153]
 [496 280]]",[1 0 0 ... 0 0 0]
1000,3,XGBoost,0.6389195148842337,"[[894 144]
 [511 265]]",[1 0 0 ... 0 0 0]
2000,3,XGBoost,0.6378169790518192,"[[866 172]
 [485 291]]",[1 0 0 ... 0 0 0]
500,3,XGBoost,0.6323042998897465,"[[879 159]
 [508 268]]",[1 0 0 ... 0 1 0]
4000,3,XGBoost,0.6273428886438809,"[[875 163]
 [513 263]]",[0 0 0 ... 0 0 0]
100,3,stack,0.6052921719955898,"[[975  63]
 [653 123]]",[0. 0. 0. ... 0. 0. 0.]
100,3,Random Forest,0.603638368246968,"[[921 117]
 [602 174]]",[0. 0. 0. ... 0. 0. 0.]
100,3,Naive Bayes,0.6008820286659317,"[[1016   22]
 [ 702   74]]",[0. 0. 0. ... 0. 0. 0.]
50,3,stack,0.5981256890848953,"[[1004   34]
 [ 695   81]]",[0. 0. 0. ... 0. 0. 0.]
50,3,Naive Bayes,0.5964718853362734,"[[1027   11]
 [ 721   55]]",[0. 0. 0. ... 0. 0. 0.]
50,3,XGBoost,0.5882028665931642,"[[937 101]
 [646 130]]",[0 0 0 ... 0 0 0]
100,3,XGBoost,0.5865490628445424,"[[916 122]
 [628 148]]",[0 0 0 ... 0 0 0]
50,3,Random Forest,0.5837927232635061,"[[981  57]
 [698  78]]",[0. 0. 0. ... 0. 1. 0.]
10,3,XGBoost,0.5755237045203969,"[[1024   14]
 [ 756   20]]",[0 0 0 ... 0 0 0]
10,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
2000,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
4000,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
50,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
1000,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
800,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
10,3,Random Forest,0.5722160970231532,"[[1020   18]
 [ 758   18]]",[0. 0. 0. ... 0. 0. 0.]
500,3,SVM,0.5722160970231532,"[[1038    0]
 [ 776    0]]",[0. 0. 0. ... 0. 0. 0.]
10,3,stack,0.5716648291069459,"[[1024   14]
 [ 763   13]]",[0. 0. 0. ... 0. 0. 0.]
100,3,SVM,0.5705622932745315,"[[1033    5]
 [ 774    2]]",[0. 0. 0. ... 0. 0. 0.]
10,3,Naive Bayes,0.4432194046306505,"[[ 47 991]
 [ 19 757]]",[1. 1. 1. ... 1. 1. 1.]
